年份,展览%,访谈%,讲座%,工作坊%,公教活动%,沙龙%,开幕式/研讨会%
2013,64.1,20.5,15.4,0.0,0.0,0.0,0.0
2014,45.4,21.7,14.0,10.1,3.9,2.9,1.9
2015,41.9,24.7,18.7,6.5,4.6,1.8,1.8
2016,33.3,20.2,30.1,9.6,4.3,1.1,1.4
2017,41.2,20.9,15.2,16.6,0.5,4.3,1.4
2018,36.4,21.7,23.4,10.9,7.6,0.0,0.0
2019,30.8,21.0,19.6,21.7,3.5,2.1,1.4
2020,44.9,30.8,15.4,3.8,0.0,3.8,1.3
2021,39.6,27.4,8.5,8.5,10.4,1.9,3.8
2022,38.4,37.0,4.1,5.5,15.1,0.0,0.0
2023,48.1,15.4,26.9,5.8,3.8,0.0,0.0
2024,47.1,13.5,18.3,20.2,0.0,1.0,0.0
2025,39.1,32.3,11.2,16.1,0.0,1.2,0.0
2026,26.7,73.3,0.0,0.0,0.0,0.0,0.0
