年份,活动类型,数量
2013,展览,25
2013,访谈,8
2013,讲座,6
2013,工作坊,0
2013,公教活动,0
2013,沙龙,0
2013,开幕式/研讨会,0
2014,展览,188
2014,访谈,90
2014,讲座,58
2014,工作坊,42
2014,公教活动,16
2014,沙龙,12
2014,开幕式/研讨会,8
2015,展览,182
2015,访谈,107
2015,讲座,81
2015,工作坊,28
2015,公教活动,20
2015,沙龙,8
2015,开幕式/研讨会,8
2016,展览,94
2016,访谈,57
2016,讲座,85
2016,工作坊,27
2016,公教活动,12
2016,沙龙,3
2016,开幕式/研讨会,4
2017,展览,87
2017,访谈,44
2017,讲座,32
2017,工作坊,35
2017,公教活动,1
2017,沙龙,9
2017,开幕式/研讨会,3
2018,展览,67
2018,访谈,40
2018,讲座,43
2018,工作坊,20
2018,公教活动,14
2018,沙龙,0
2018,开幕式/研讨会,0
2019,展览,44
2019,访谈,30
2019,讲座,28
2019,工作坊,31
2019,公教活动,5
2019,沙龙,3
2019,开幕式/研讨会,2
2020,展览,35
2020,访谈,24
2020,讲座,12
2020,工作坊,3
2020,公教活动,0
2020,沙龙,3
2020,开幕式/研讨会,1
2021,展览,42
2021,访谈,29
2021,讲座,9
2021,工作坊,9
2021,公教活动,11
2021,沙龙,2
2021,开幕式/研讨会,4
2022,展览,28
2022,访谈,27
2022,讲座,3
2022,工作坊,4
2022,公教活动,11
2022,沙龙,0
2022,开幕式/研讨会,0
2023,展览,75
2023,访谈,24
2023,讲座,42
2023,工作坊,9
2023,公教活动,6
2023,沙龙,0
2023,开幕式/研讨会,0
2024,展览,98
2024,访谈,28
2024,讲座,38
2024,工作坊,42
2024,公教活动,0
2024,沙龙,2
2024,开幕式/研讨会,0
2025,展览,63
2025,访谈,52
2025,讲座,18
2025,工作坊,26
2025,公教活动,0
2025,沙龙,2
2025,开幕式/研讨会,0
2026,展览,4
2026,访谈,11
2026,讲座,0
2026,工作坊,0
2026,公教活动,0
2026,沙龙,0
2026,开幕式/研讨会,0
