年份,发帖量(条),总阅读量,平均阅读量/帖,最高阅读量帖子,阅读量
2013,39,1771,45.4,2013.09.05 Welcome to AMNUA,1130
2014,446,221260,496.1,2014.11.20 【高山流水】参展艺术家：郑力,3868
2015,572,845226,1477.7,2015.05.22 AMNUA现场丨南艺2015毕业服装秀美图新鲜出炉，5点半加,18093
2016,402,474365,1180.0,2016.05.20 南艺520服装秀 · 现场图新鲜出炉丨AMNUA毕业展,17702
2017,333,479515,1440.0,2017.10.09 李小山：《写并活着》井上有一展序丨AMNUA展讯,11822
2018,224,285802,1275.9,2018.05.20 AMNUA带你看520：毕设+时装秀丨毕业嘉年华,10082
2019,179,317242,1772.3,2019.04.06 荒木经惟·花幽 Coming Soon丨AMNUA 展讯,28248
2020,104,167423,1609.8,2020.07.24 我曾经是艺术媒体人，现在在卖水果丨AMNUA纪实,8114
2021,148,235605,1591.9,2021.03.02 ​惟象生境——李立新绘画作品展丨AMNUA展讯,13184
2022,98,125120,1276.7,2022.09.20 字道——汉字艺术设计的现代之路实验展丨AMNUA展讯,6755
2023,175,252369,1442.1,2023.05.20 太酷啦，南艺520！︱AMNUA现场,8696
2024,242,359325,1484.8,2024.11.12 无意味的形式：邬烈炎绘画作品展 ｜  AMNUA展讯,19254
2025,190,231038,1216.0,2025.06.09 美碑 善碑 真碑：雷子人式考现 ｜AMNUA展讯,11096
2026,19,19826,1043.5,2026.03.15 小孩生了我们 ｜AMNUA展讯,3287
