年份,月份,发帖量,总阅读量,月平均阅读量,最高阅读量,最高阅读帖子标题
2013,09月,6,1244,207.3,1130,ID_0001
2013,10月,9,145,16.1,66,ID_0009
2013,11月,16,245,15.3,84,ID_0034
2013,12月,8,137,17.1,33,ID_0037
2014,01月,7,181,25.9,63,ID_0043
2014,02月,2,264,132.0,179,ID_0051
2014,03月,1,401,401.0,401,ID_0052
2014,04月,58,3678,63.4,898,ID_0431
2014,05月,61,3846,63.0,874,ID_0453
2014,06月,22,3090,140.5,530,ID_0512
2014,07月,8,5097,637.1,2882,ID_0538
2014,08月,6,7249,1208.2,1815,ID_0540
2014,09月,72,56333,782.4,3413,ID_0568
2014,10月,68,36342,534.4,2128,ID_0124
2014,11月,76,60962,802.1,3868,ID_0176
2014,12月,65,43817,674.1,3203,ID_0210
2015,01月,17,13655,803.2,1318,ID_0237
2015,02月,6,6324,1054.0,1831,ID_0244
2015,03月,58,77868,1342.6,5175,ID_0248
2015,04月,86,88454,1028.5,2940,ID_0302
2015,05月,124,220925,1781.7,18093,ID_0886
2015,06月,59,53851,912.7,3397,ID_0926
2015,07月,26,26617,1023.7,6681,ID_0993
2015,08月,21,28955,1378.8,4432,ID_1015
2015,09月,43,66906,1556.0,17216,ID_1064
2015,10月,58,80888,1394.6,5732,ID_1105
2015,11月,29,75000,2586.2,7715,ID_1135
2015,12月,45,105783,2350.7,8757,ID_1196
2016,01月,31,60326,1946.0,7711,ID_1225
2016,02月,11,11911,1082.8,2987,ID_1238
2016,03月,43,32146,747.6,5371,ID_1267
2016,04月,38,43600,1147.4,6685,ID_1297
2016,05月,27,65188,2414.4,17702,ID_1341
2016,06月,36,47847,1329.1,12551,ID_1379
2016,07月,20,16041,802.0,2792,ID_1391
2016,08月,19,17486,920.3,4339,ID_1423
2016,09月,59,53369,904.6,4450,ID_1458
2016,10月,46,55290,1202.0,9348,ID_1508
2016,11月,35,34865,996.1,5116,ID_1557
2016,12月,37,36296,981.0,7434,ID_1578
2017,01月,10,15525,1552.5,4655,ID_1613
2017,02月,20,22067,1103.3,5394,ID_1632
2017,03月,44,45385,1031.5,4445,ID_1640
2017,04月,42,54752,1303.6,8476,ID_1689
2017,05月,41,55033,1342.3,5440,ID_1764
2017,06月,39,63611,1631.1,6785,ID_1783
2017,07月,21,35548,1692.8,4241,ID_1830
2017,08月,3,9513,3171.0,3886,ID_1832
2017,09月,30,43693,1456.4,8096,ID_1835
2017,10月,29,47329,1632.0,11822,ID_1867
2017,11月,27,37367,1384.0,4317,ID_1900
2017,12月,27,49692,1840.4,5695,ID_1936
2018,01月,16,15143,946.4,2334,ID_1966
2018,02月,2,9284,4642.0,8795,ID_1967
2018,03月,25,42329,1693.2,6940,ID_1969
2018,04月,34,44093,1296.9,4312,ID_2006
2018,05月,19,29237,1538.8,10082,ID_2044
2018,06月,11,14385,1307.7,3245,ID_2059
2018,07月,8,8025,1003.1,1561,ID_2069
2018,08月,8,12728,1591.0,4318,ID_2074
2018,09月,24,26163,1090.1,4307,ID_2097
2018,10月,36,38008,1055.8,4237,ID_2118
2018,11月,20,19601,980.0,1596,ID_2157
2018,12月,21,26806,1276.5,4046,ID_2169
2019,01月,14,17222,1230.1,4366,ID_2182
2019,02月,1,963,963.0,963,ID_2196
2019,03月,26,41956,1613.7,5355,ID_2197
2019,04月,33,90689,2748.2,28248,ID_2226
2019,05月,21,34584,1646.9,6094,ID_2271
2019,06月,17,24455,1438.5,4609,ID_2281
2019,07月,4,7499,1874.8,2966,ID_2296
2019,09月,12,17583,1465.2,3990,ID_2300
2019,10月,18,34825,1934.7,7602,ID_2319
2019,11月,17,27175,1598.5,10256,ID_2328
2019,12月,16,20291,1268.2,2435,ID_2347
2020,01月,6,9043,1507.2,3842,ID_2364
2020,02月,1,632,632.0,632,ID_2367
2020,03月,6,4443,740.5,1146,ID_2373
2020,04月,6,5998,999.7,1260,ID_2378
2020,05月,14,10803,771.6,1462,ID_2393
2020,06月,6,6357,1059.5,1787,ID_2396
2020,07月,9,19107,2123.0,8114,ID_2408
2020,08月,3,5608,1869.3,2834,ID_2410
2020,09月,13,18729,1440.7,3611,ID_2421
2020,10月,10,14130,1413.0,4121,ID_2426
2020,11月,13,27631,2125.5,5080,ID_2441
2020,12月,17,44942,2643.6,7397,ID_2456
2021,01月,4,3984,996.0,1469,ID_2467
2021,02月,1,562,562.0,562,ID_2471
2021,03月,17,34395,2023.2,13184,ID_2472
2021,04月,20,44024,2201.2,5464,ID_2492
2021,05月,11,14021,1274.6,2803,ID_2511
2021,06月,14,20139,1438.5,2789,ID_2522
2021,07月,8,6528,816.0,2034,ID_2535
2021,08月,4,1940,485.0,867,ID_2543
2021,09月,15,13647,909.8,2510,ID_2548
2021,10月,14,15444,1103.1,2990,ID_2565
2021,11月,21,49493,2356.8,12301,ID_2587
2021,12月,19,31428,1654.1,5849,ID_2609
2022,01月,10,10627,1062.7,2332,ID_2622
2022,02月,5,3741,748.2,1863,ID_2627
2022,03月,9,10411,1156.8,2867,ID_2640
2022,05月,8,11073,1384.1,2447,ID_2649
2022,06月,17,17599,1035.2,1998,ID_2660
2022,07月,2,2400,1200.0,1867,ID_2667
2022,08月,2,3167,1583.5,2198,ID_2670
2022,09月,16,23604,1475.2,6755,ID_2681
2022,10月,8,15088,1886.0,5259,ID_2690
2022,11月,20,27018,1350.9,3639,ID_2700
2022,12月,1,392,392.0,392,ID_2716
2023,02月,1,405,405.0,405,ID_2717
2023,03月,23,21873,951.0,3831,ID_2726
2023,04月,34,44713,1315.1,5070,ID_2760
2023,05月,22,32634,1483.4,8696,ID_2792
2023,06月,20,23383,1169.2,6486,ID_2803
2023,07月,3,3453,1151.0,1434,ID_2821
2023,09月,13,28009,2154.5,5829,ID_2822
2023,10月,13,19588,1506.8,3962,ID_2838
2023,11月,19,26017,1369.3,3523,ID_2867
2023,12月,27,52294,1936.8,5290,ID_2886
2024,01月,18,24926,1384.8,3127,ID_2916
2024,02月,11,12801,1163.7,2890,ID_2933
2024,03月,24,44585,1857.7,8207,ID_2968
2024,04月,17,25634,1507.9,4450,ID_2978
2024,05月,20,49535,2476.8,11301,ID_3000
2024,06月,24,41004,1708.5,12634,ID_3018
2024,07月,9,6865,762.8,1173,ID_3044
2024,08月,5,6394,1278.8,2616,ID_3047
2024,09月,6,12002,2000.3,5147,ID_3055
2024,10月,34,37347,1098.4,4183,ID_3089
2024,11月,31,58820,1897.4,19254,ID_3107
2024,12月,43,39412,916.6,3008,ID_3160
2025,01月,11,10976,997.8,2375,ID_3168
2025,02月,10,5914,591.4,1243,ID_3185
2025,03月,21,18256,869.3,2983,ID_3191
2025,04月,24,19743,822.6,2254,ID_3218
2025,05月,19,37066,1950.8,7999,ID_3246
2025,06月,22,46547,2115.8,11096,ID_3265
2025,07月,6,7267,1211.2,1927,ID_3283
2025,08月,2,5320,2660.0,3438,ID_3286
2025,09月,17,17984,1057.9,2989,ID_3301
2025,10月,23,15484,673.2,1805,ID_3310
2025,11月,21,28927,1377.5,5972,ID_3329
2025,12月,14,17554,1253.9,3681,ID_3362
2026,01月,3,1894,631.3,847,ID_3366
2026,02月,1,1620,1620.0,1620,ID_3369
2026,03月,15,16312,1087.5,3287,ID_3379
